"Sample","N^-0.5","N^-0.75","N^-1","White Noise","Golden Ratio","Golden Ratio2","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"1","1.000000","1.000000","1.000000","0.500000","0.500000","0.500000","0.500000","0.500000","0.500000","0.500000","0.500000"
"2","0.707107","0.594604","0.500000","0.500000","0.500000","0.000000","0.500000","0.500000","0.000000","0.500000","0.000000"
"3","0.577350","0.438691","0.333333","0.166667","0.500000","0.166667","0.500000","0.500000","0.166667","0.500000","0.166667"
"4","0.500000","0.353553","0.250000","0.000000","0.500000","0.000000","0.500000","0.500000","0.250000","0.250000","0.000000"
"5","0.447214","0.299070","0.200000","0.100000","0.300000","0.100000","0.500000","0.300000","0.100000","0.100000","0.100000"
"6","0.408248","0.260847","0.166667","0.166667","0.333333","0.000000","0.500000","0.333333","0.166667","0.000000","0.166667"
"7","0.377964","0.232368","0.142857","0.071429","0.214286","0.071429","0.500000","0.357143","0.071429","0.071429","0.071429"
"8","0.353553","0.210224","0.125000","0.000000","0.125000","0.000000","0.375000","0.375000","0.125000","0.000000","0.000000"
"9","0.333333","0.192450","0.111111","0.055556","0.166667","0.055556","0.388889","0.277778","0.055556","0.055556","0.055556"
"10","0.316228","0.177828","0.100000","0.100000","0.200000","0.000000","0.400000","0.200000","0.000000","0.000000","0.100000"
"11","0.301511","0.165560","0.090909","0.045455","0.227273","0.045455","0.409091","0.227273","0.045455","0.045455","0.045455"
"12","0.288675","0.155101","0.083333","0.083333","0.166667","0.000000","0.333333","0.250000","0.000000","0.000000","0.000000"
"13","0.277350","0.146064","0.076923","0.038462","0.192308","0.038462","0.346154","0.192308","0.038462","0.038462","0.038462"
"14","0.267261","0.138167","0.071429","0.000000","0.142857","0.071429","0.357143","0.214286","0.000000","0.071429","0.000000"
"15","0.258199","0.131199","0.066667","0.033333","0.166667","0.100000","0.366667","0.166667","0.033333","0.100000","0.033333"
"16","0.250000","0.125000","0.062500","0.062500","0.125000","0.125000","0.312500","0.187500","0.000000","0.125000","0.000000"
"17","0.242536","0.119444","0.058824","0.088235","0.088235","0.088235","0.323529","0.147059","0.029412","0.088235","0.029412"
"18","0.235702","0.114432","0.055556","0.055556","0.111111","0.111111","0.333333","0.111111","0.000000","0.055556","0.000000"
"19","0.229416","0.109884","0.052632","0.026316","0.131579","0.078947","0.342105","0.131579","0.026316","0.026316","0.026316"
"20","0.223607","0.105737","0.050000","0.050000","0.100000","0.100000","0.350000","0.150000","0.050000","0.000000","0.000000"
"21","0.218218","0.101938","0.047619","0.071429","0.071429","0.071429","0.357143","0.119048","0.023810","0.023810","0.023810"
"22","0.213201","0.098443","0.045455","0.090909","0.090909","0.090909","0.363636","0.136364","0.045455","0.000000","0.045455"
"23","0.208514","0.095215","0.043478","0.108696","0.108696","0.108696","0.369565","0.108696","0.065217","0.021739","0.065217"
"24","0.204124","0.092223","0.041667","0.125000","0.083333","0.083333","0.333333","0.125000","0.041667","0.041667","0.041667"
"25","0.200000","0.089443","0.040000","0.100000","0.100000","0.060000","0.340000","0.100000","0.020000","0.020000","0.020000"
"26","0.196116","0.086850","0.038462","0.076923","0.076923","0.076923","0.346154","0.076923","0.000000","0.038461","0.000000"
"27","0.192450","0.084426","0.037037","0.092593","0.092593","0.092593","0.351852","0.055556","0.018519","0.018518","0.018519"
"28","0.188982","0.082155","0.035714","0.107143","0.071429","0.071429","0.321429","0.071429","0.000000","0.000000","0.035714"
"29","0.185695","0.080021","0.034483","0.086207","0.086207","0.051724","0.327586","0.051724","0.017241","0.017241","0.051724"
"30","0.182574","0.078012","0.033333","0.066667","0.100000","0.066667","0.333333","0.066667","0.033333","0.033333","0.033333"
"31","0.179605","0.076116","0.032258","0.080645","0.112903","0.048387","0.338710","0.080645","0.048387","0.016129","0.016129"
"32","0.176777","0.074325","0.031250","0.062500","0.093750","0.062500","0.312500","0.093750","0.031250","0.000000","0.031250"
"33","0.174078","0.072630","0.030303","0.045455","0.075758","0.045455","0.318182","0.075758","0.015152","0.015152","0.015152"
"34","0.171499","0.071022","0.029412","0.029412","0.088235","0.058824","0.323529","0.088235","0.000000","0.000000","0.000000"
"35","0.169031","0.069494","0.028571","0.014286","0.071429","0.071429","0.328571","0.100000","0.014286","0.014286","0.014286"
"36","0.166667","0.068041","0.027778","0.000000","0.055556","0.083333","0.333333","0.111111","0.000000","0.000000","0.027778"
"37","0.164399","0.066657","0.027027","0.013514","0.067568","0.067568","0.337838","0.094595","0.013514","0.013514","0.013514"
"38","0.162221","0.065337","0.026316","0.000000","0.078947","0.078947","0.342105","0.105263","0.026316","0.000000","0.026316"
"39","0.160128","0.064077","0.025641","0.012821","0.089744","0.089744","0.346154","0.089744","0.012820","0.012821","0.012820"
"40","0.158114","0.062872","0.025000","0.025000","0.075000","0.075000","0.325000","0.100000","0.025000","0.000000","0.000000"
"41","0.156174","0.061718","0.024390","0.036585","0.085366","0.085366","0.329268","0.085366","0.012195","0.012195","0.012195"
"42","0.154303","0.060613","0.023810","0.047619","0.071429","0.071429","0.333333","0.071429","0.023809","0.000000","0.000000"
"43","0.152499","0.059552","0.023256","0.058140","0.081395","0.081395","0.337209","0.058140","0.011628","0.011628","0.011628"
"44","0.150756","0.058534","0.022727","0.068182","0.068182","0.068182","0.318182","0.068182","0.022727","0.022727","0.000000"
"45","0.149071","0.057556","0.022222","0.055556","0.055556","0.055556","0.322222","0.055556","0.033333","0.033333","0.011111"
"46","0.147442","0.056615","0.021739","0.065217","0.065217","0.043478","0.326087","0.065217","0.021739","0.043478","0.000000"
